"hr","holiday","workingday","weathersit","temp","atemp","hum","windspeed","cnt","instant","mnth","yr"
"12",FALSE,TRUE,"Misty",0.82,0.7879,0.56,0.2239,229,13568,7,1
"13",FALSE,TRUE,"Misty",0.84,0.803,0.53,0.2985,273,13569,7,1
"14",FALSE,TRUE,"Misty",0.84,0.803,0.53,0.2239,244,13570,7,1
"15",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7727,0.49,0.2985,285,13571,7,1
"16",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7576,0.55,0.2985,455,13572,7,1
"17",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.52,0.3284,869,13573,7,1
"18",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.62,0.3284,877,13574,7,1
"19",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.62,0.1642,632,13575,7,1
"20",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.1642,523,13576,7,1
"21",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.2239,378,13577,7,1
"22",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.2537,269,13578,7,1
"23",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6818,0.58,0.3284,192,13579,7,1
"0",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.58,0.2985,66,13580,7,1
"1",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.58,0.194,28,13581,7,1
"2",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.61,0.2239,12,13582,7,1
"3",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6212,0.65,0.2239,12,13583,7,1
"4",FALSE,TRUE,"Clear to partly cloudy",0.64,0.6061,0.65,0.2239,4,13584,7,1
"5",FALSE,TRUE,"Clear to partly cloudy",0.64,0.6061,0.65,0.1642,59,13585,7,1
"6",FALSE,TRUE,"Clear to partly cloudy",0.64,0.6061,0.65,0.194,190,13586,7,1
"7",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6212,0.5,0.3284,507,13587,7,1
"8",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6364,0.42,0.2537,788,13588,7,1
"9",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6515,0.37,0.2985,342,13589,7,1
"10",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6515,0.37,0,231,13590,7,1
"11",FALSE,TRUE,"Clear to partly cloudy",0.76,0.6667,0.33,0,281,13591,7,1
"12",FALSE,TRUE,"Clear to partly cloudy",0.76,0.6667,0.33,0,310,13592,7,1
"13",FALSE,TRUE,"Clear to partly cloudy",0.78,0.6818,0.31,0.1642,312,13593,7,1
"14",FALSE,TRUE,"Clear to partly cloudy",0.8,0.697,0.29,0.1343,247,13594,7,1
"15",FALSE,TRUE,"Clear to partly cloudy",0.78,0.6818,0.31,0.0896,317,13595,7,1
"16",FALSE,TRUE,"Clear to partly cloudy",0.8,0.697,0.29,0.1642,484,13596,7,1
"17",FALSE,TRUE,"Clear to partly cloudy",0.8,0.697,0.31,0,913,13597,7,1
"18",FALSE,TRUE,"Clear to partly cloudy",0.8,0.697,0.27,0.1343,891,13598,7,1
"19",FALSE,TRUE,"Clear to partly cloudy",0.76,0.6667,0.33,0.1343,698,13599,7,1
"20",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6515,0.4,0.1642,567,13600,7,1
"21",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6515,0.45,0.1343,397,13601,7,1
"22",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.58,0.1343,278,13602,7,1
"23",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.57,0.2985,239,13603,7,1
"0",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6212,0.65,0.194,92,13604,7,1
"1",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6212,0.65,0.2239,29,13605,7,1
"2",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6212,0.69,0.2537,21,13606,7,1
"3",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6212,0.69,0.2239,8,13607,7,1
"4",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6212,0.74,0.194,4,13608,7,1
"5",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6212,0.74,0.194,42,13609,7,1
"6",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.78,0.2537,181,13610,7,1
"7",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.74,0.2537,495,13611,7,1
"8",FALSE,TRUE,"Misty",0.7,0.6667,0.74,0.2537,729,13612,7,1
"9",FALSE,TRUE,"Misty",0.72,0.6818,0.7,0.1343,344,13613,7,1
"10",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.7,0.2239,222,13614,7,1
"11",FALSE,TRUE,"Clear to partly cloudy",0.8,0.803,0.66,0.2239,212,13615,7,1
"12",FALSE,TRUE,"Clear to partly cloudy",0.84,0.8182,0.56,0.2537,279,13616,7,1
"13",FALSE,TRUE,"Clear to partly cloudy",0.86,0.8333,0.53,0.2985,242,13617,7,1
"14",FALSE,TRUE,"Clear to partly cloudy",0.9,0.8788,0.47,0.2537,213,13618,7,1
"15",FALSE,TRUE,"Clear to partly cloudy",0.92,0.8939,0.42,0.2985,238,13619,7,1
"16",FALSE,TRUE,"Clear to partly cloudy",0.94,0.8788,0.38,0.3881,374,13620,7,1
"17",FALSE,TRUE,"Clear to partly cloudy",0.9,0.8636,0.45,0.4179,738,13621,7,1
"18",FALSE,TRUE,"Clear to partly cloudy",0.92,0.8788,0.4,0.3582,688,13622,7,1
"19",FALSE,TRUE,"Clear to partly cloudy",0.9,0.8636,0.45,0.3284,614,13623,7,1
"20",FALSE,TRUE,"Clear to partly cloudy",0.86,0.8182,0.5,0.2537,446,13624,7,1
"21",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.49,0.6119,271,13625,7,1
"22",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.49,0.6119,234,13626,7,1
"23",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.1343,145,13627,7,1
"0",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0,97,13628,7,1
"1",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.1045,54,13629,7,1
"2",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.79,0.1343,26,13630,7,1
"3",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.74,0.1642,12,13631,7,1
"4",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.79,0,8,13632,7,1
"5",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.84,0,37,13633,7,1
"6",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.79,0,139,13634,7,1
"7",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.194,410,13635,7,1
"8",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7273,0.66,0.0896,676,13636,7,1
"9",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7727,0.49,0.2836,363,13637,7,1
"10",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7727,0.47,0,231,13638,7,1
"11",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7727,0.47,0.3284,251,13639,7,1
"12",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7879,0.49,0.3582,299,13640,7,1
"13",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7727,0.47,0.2836,314,13641,7,1
"14",FALSE,TRUE,"Clear to partly cloudy",0.86,0.803,0.47,0.2985,326,13642,7,1
"15",FALSE,TRUE,"Clear to partly cloudy",0.86,0.7879,0.41,0.2239,323,13643,7,1
"16",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7727,0.47,0.2239,499,13644,7,1
"17",FALSE,TRUE,"Clear to partly cloudy",0.86,0.7879,0.41,0.2836,699,13645,7,1
"18",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7576,0.46,0.1642,622,13646,7,1
"19",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7727,0.52,0.194,516,13647,7,1
"20",FALSE,TRUE,"Clear to partly cloudy",0.78,0.7424,0.59,0.1045,354,13648,7,1
"21",FALSE,TRUE,"Clear to partly cloudy",0.78,0.7424,0.59,0.1045,260,13649,7,1
"22",FALSE,TRUE,"Clear to partly cloudy",0.78,0.7424,0.59,0.1343,199,13650,7,1
"23",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7273,0.66,0,189,13651,7,1
"0",FALSE,FALSE,"Clear to partly cloudy",0.74,0.6818,0.62,0.1343,191,13652,7,1
"1",FALSE,FALSE,"Clear to partly cloudy",0.72,0.6818,0.7,0.0896,80,13653,7,1
"2",FALSE,FALSE,"Clear to partly cloudy",0.72,0.6818,0.7,0,90,13654,7,1
"3",FALSE,FALSE,"Clear to partly cloudy",0.72,0.6818,0.7,0,43,13655,7,1
"4",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6667,0.79,0.194,11,13656,7,1
"5",FALSE,FALSE,"Clear to partly cloudy",0.68,0.6364,0.79,0.1642,14,13657,7,1
"6",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6515,0.7,0.1045,50,13658,7,1
"7",FALSE,FALSE,"Clear to partly cloudy",0.72,0.6818,0.7,0.1343,76,13659,7,1
"8",FALSE,FALSE,"Clear to partly cloudy",0.74,0.697,0.66,0.1642,163,13660,7,1
"9",FALSE,FALSE,"Clear to partly cloudy",0.78,0.7424,0.59,0.1045,337,13661,7,1
"10",FALSE,FALSE,"Clear to partly cloudy",0.82,0.7727,0.52,0.2239,395,13662,7,1
"11",FALSE,FALSE,"Clear to partly cloudy",0.84,0.7424,0.39,0.2239,457,13663,7,1
"12",FALSE,FALSE,"Clear to partly cloudy",0.84,0.7576,0.41,0.2239,487,13664,7,1
"13",FALSE,FALSE,"Clear to partly cloudy",0.86,0.7879,0.41,0.2836,498,13665,7,1
"14",FALSE,FALSE,"Clear to partly cloudy",0.86,0.7727,0.39,0.2537,494,13666,7,1
"15",FALSE,FALSE,"Clear to partly cloudy",0.88,0.7727,0.32,0.2836,497,13667,7,1
"16",FALSE,FALSE,"Clear to partly cloudy",0.86,0.7727,0.39,0.2239,487,13668,7,1
"17",FALSE,FALSE,"Clear to partly cloudy",0.82,0.7576,0.46,0.194,479,13669,7,1
"18",FALSE,FALSE,"Clear to partly cloudy",0.82,0.7424,0.43,0.2836,481,13670,7,1
"19",FALSE,FALSE,"Clear to partly cloudy",0.68,0.6364,0.83,0,338,13671,7,1
"20",FALSE,FALSE,"Clear to partly cloudy",0.66,0.6061,0.83,0.2239,233,13672,7,1
"21",FALSE,FALSE,"Clear to partly cloudy",0.66,0.6061,0.78,0.0896,300,13673,7,1
"22",FALSE,FALSE,"Clear to partly cloudy",0.66,0.6061,0.78,0.0896,276,13674,7,1
"23",FALSE,FALSE,"Clear to partly cloudy",0.66,0.6061,0.83,0.0896,208,13675,7,1
"0",FALSE,FALSE,"Clear to partly cloudy",0.66,0.5909,0.89,0.1343,188,13676,7,1
"1",FALSE,FALSE,"Clear to partly cloudy",0.66,0.6061,0.83,0.1045,158,13677,7,1
"2",FALSE,FALSE,"Clear to partly cloudy",0.66,0.6212,0.74,0.1343,112,13678,7,1
"3",FALSE,FALSE,"Clear to partly cloudy",0.66,0.6212,0.69,0.2239,55,13679,7,1
"4",FALSE,FALSE,"Clear to partly cloudy",0.64,0.6061,0.69,0.194,13,13680,7,1
"5",FALSE,FALSE,"Clear to partly cloudy",0.62,0.5909,0.78,0.194,17,13681,7,1
"6",FALSE,FALSE,"Clear to partly cloudy",0.64,0.6061,0.73,0.1642,18,13682,7,1
"7",FALSE,FALSE,"Clear to partly cloudy",0.66,0.6212,0.69,0.2537,40,13683,7,1
"8",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6515,0.65,0.2239,127,13684,7,1
"9",FALSE,FALSE,"Clear to partly cloudy",0.72,0.6818,0.62,0.2537,226,13685,7,1
"10",FALSE,FALSE,"Clear to partly cloudy",0.74,0.6818,0.62,0,381,13686,7,1
"11",FALSE,FALSE,"Clear to partly cloudy",0.76,0.697,0.55,0.2239,509,13687,7,1
"12",FALSE,FALSE,"Clear to partly cloudy",0.76,0.697,0.55,0.3284,511,13688,7,1
"13",FALSE,FALSE,"Clear to partly cloudy",0.8,0.7424,0.49,0.2239,483,13689,7,1
"14",FALSE,FALSE,"Clear to partly cloudy",0.8,0.7273,0.46,0.194,522,13690,7,1
"15",FALSE,FALSE,"Clear to partly cloudy",0.8,0.7273,0.43,0.1343,501,13691,7,1
"16",FALSE,FALSE,"Clear to partly cloudy",0.8,0.7273,0.43,0.1343,521,13692,7,1
"17",FALSE,FALSE,"Clear to partly cloudy",0.82,0.7424,0.41,0.1642,531,13693,7,1
"18",FALSE,FALSE,"Clear to partly cloudy",0.8,0.7121,0.41,0.2985,419,13694,7,1
"19",FALSE,FALSE,"Clear to partly cloudy",0.76,0.697,0.55,0.1642,443,13695,7,1
"20",FALSE,FALSE,"Clear to partly cloudy",0.74,0.697,0.66,0.1045,303,13696,7,1
"21",FALSE,FALSE,"Clear to partly cloudy",0.72,0.6818,0.7,0.1343,271,13697,7,1
"22",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6515,0.7,0.1045,148,13698,7,1
"23",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6515,0.7,0,100,13699,7,1
"0",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.74,0.0896,58,13700,7,1
"1",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.74,0,19,13701,7,1
"2",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.74,0,8,13702,7,1
"3",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0,3,13703,7,1
"4",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0,5,13704,7,1
"5",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.1045,47,13705,7,1
"6",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.1642,161,13706,7,1
"7",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.79,0.0896,469,13707,7,1
"8",FALSE,TRUE,"Misty",0.72,0.697,0.74,0.1045,751,13708,7,1
"9",FALSE,TRUE,"Misty",0.74,0.697,0.7,0,293,13709,7,1
"10",FALSE,TRUE,"Misty",0.74,0.697,0.66,0.2239,189,13710,7,1
"11",FALSE,TRUE,"Misty",0.78,0.7273,0.55,0.1343,215,13711,7,1
"12",FALSE,TRUE,"Misty",0.76,0.7121,0.58,0.1045,278,13712,7,1
"13",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.49,0.1642,226,13713,7,1
"14",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.49,0.2239,254,13714,7,1
"15",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.49,0.2537,236,13715,7,1
"16",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.49,0.2836,425,13716,7,1
"17",FALSE,TRUE,"Clear to partly cloudy",0.76,0.697,0.55,0.3284,827,13717,7,1
"18",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.58,0.4179,812,13718,7,1
"19",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7727,0.52,0.1642,665,13719,7,1
"20",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.2239,462,13720,7,1
"21",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.194,322,13721,7,1
"22",FALSE,TRUE,"Misty",0.7,0.6667,0.74,0.2239,230,13722,7,1
"23",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.74,0.194,150,13723,7,1
"0",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.79,0.1343,38,13724,7,1
"1",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.1343,21,13725,7,1
"2",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.1343,8,13726,7,1
"3",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.0896,6,13727,7,1
"4",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.0896,6,13728,7,1
"5",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.1642,45,13729,7,1
"6",FALSE,TRUE,"Clear to partly cloudy",0.64,0.5758,0.89,0.1642,194,13730,7,1
"7",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.83,0.2239,513,13731,7,1
"8",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.79,0.1343,760,13732,7,1
"9",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.1045,333,13733,7,1
"10",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.66,0,227,13734,7,1
"11",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.58,0,224,13735,7,1
"12",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7273,0.46,0,248,13736,7,1
"13",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7576,0.55,0.2836,288,13737,7,1
"14",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7576,0.55,0.2836,260,13738,7,1
"15",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.62,0.1343,144,13739,7,1
"16",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.58,0.2239,402,13740,7,1
"17",FALSE,TRUE,"Clear to partly cloudy",0.78,0.7121,0.52,0.2239,820,13741,7,1
"18",FALSE,TRUE,"Clear to partly cloudy",0.76,0.697,0.55,0.2836,857,13742,7,1
"19",FALSE,TRUE,"Light Precipitation",0.74,0.6818,0.62,0.3582,614,13743,7,1
"20",FALSE,TRUE,"Light Precipitation",0.7,0.6515,0.7,0.194,452,13744,7,1
"21",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.79,0.194,352,13745,7,1
"22",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.74,0.2537,257,13746,7,1
"23",FALSE,TRUE,"Misty",0.66,0.6061,0.83,0.1642,147,13747,7,1
